stage,batch_index,train_accuracy,train_accept_rate,val_accuracy,val_accept_rate
initial,0,0.5,0.75,0.0,0.5333333333333333
after_batch,1,0.6166666666666667,0.8166666666666667,0.13333333333333333,0.7333333333333333
after_batch,2,0.6,0.65,0.2,0.5333333333333333
after_batch,3,0.7,0.55,0.26666666666666666,0.3333333333333333
after_batch,4,0.7,0.55,0.26666666666666666,0.4666666666666667
after_batch,5,0.18333333333333332,0.55,0.13333333333333333,0.4666666666666667
after_batch,6,0.13333333333333333,0.5333333333333333,0.06666666666666667,0.4666666666666667
after_batch,7,0.2,0.5166666666666667,0.13333333333333333,0.4
after_batch,8,0.15,0.65,0.06666666666666667,0.4
